Advertiser,Keyword,Bid Value,Budget
0,lucius review,0.2,103
0,houston rockets,0.7,
0,mockingbird lane,0.5,
0,60 minutes,0.2,
1,new york nanny agencies,0.2,343
1,ihsa football scores,0.8,
1,nba preseason stats,0.1,
1,houston rockets,0.8,
1,greys anatomy s9e4,0.4,
1,benghazi attack,0.6,
1,vegas,0.9,
1,mockingbird lane,0.9,
1,storm,0.9,
1,sandy,0.9,
2,nexus 10,0.9,221
2,ms surface,0.5,
2,greys anatomy s9e4,0.5,
2,mockingbird lane,0.7,
2,saanvi,0.7,
2,florida vs georgia,0.9,
2,&esrc=s,0.6,
3,ihsa football scores,0.7,366
3,elise build,0.4,
3,mac mini,0.4,
3,ios 6 update,0.6,
3,asus vivo tab,0.7,
3,farming simulator 2013,0.4,
3,google,0.2,
3,android 4.2,0.8,
3,marvel spec ops 4,0.6,
3,nexus 7,0.8,
3,hurricane,0.7,
3,it's a mad king's world,0.4,
3,ipad mini review,0.2,
3,&esrc=s,0.3,
4,elise build,0.5,146
4,fallen enchantress review,0.5,
4,faithful 1.4.2,0.1,
4,mitt romney,0.5,
4,android 4.2,0.9,
4,lucius,0.1,
4,halloween summoner icons,0.4,
5,minecraft version changer,0.3,93
5,lucius review,0.3,
5,ios 6 update,0.1,
5,nexus,0.7,
6,window 8,0.2,61
6,nexus 4,0.9,
6,amazing race,0.2,
7,asus vivo tab,0.7,74
7,east coast storm,0.2,
7,windows 8,0.2,
8,wii games,0.7,132
8,fringe review,0.4,
8,htc 8x,0.2,
8,office 2013,0.2,
8,saanvi venna,0.9,
9,watch world series online,0.2,319
9,obama,0.6,
9,east coast storm,0.8,
9,asus transformer infinity,0.6,
9,nexus,0.5,
9,nanny,0.5,
9,&source=web,0.5,
9,eerie crate,0.6,
9,saanvi venna,0.7,
9,south carolina football,0.8,
9,galaxy note 2,0.2,
9,sandy,0.7,
10,rutgers football,0.2,93
10,htc 8x,0.6,
10,saanvi venna,0.5,
10,48 hours,0.2,
10,tropical storm sandy,0.2,
11,android 4.2,0.5,95
11,cabelas dangerous hunts,0.8,
11,nanny kills kids,0.3,
12,minecraft version changer,0.4,300
12,ios 6 update,0.3,
12,faithful 1.4.2,0.8,
12,microsoft,0.5,
12,lenovo ideapad yoga,0.8,
12,jelly bean galaxy s3,0.7,
12,macbook air,0.4,
12,eerie crate,0.6,
12,daemon tools lite,0.5,
12,saanvi,0.5,
13,ms surface,0.3,171
13,rutgers football,0.7,
13,asus vivo tab,0.7,
13,farming simulator 2013,0.3,
13,partners,0.7,
13,lucius,0.3,
13,&esrc=s,0.7,
14,nexus 10,0.7,119
14,fallen enchantress review,0.9,
14,48 hours,0.9,
15,mini ipad,0.7,218
15,houston rockets,0.9,
15,mac mini,0.5,
15,macbook air,0.8,
15,amazing race,0.4,
15,nanny kills kids,0.2,
15,storm,0.4,
16,nc state football,0.3,172
16,window 8,0.4,
16,lucius review,0.4,
16,vegas,0.6,
16,marvel spec ops 4,0.9,
16,macbook air,0.1,
16,daemon tools lite,0.1,
17,mini ipad,0.3,207
17,nba preseason stats,0.1,
17,asus vivo tab,0.8,
17,watch world series online,0.2,
17,windows surface,0.3,
17,nyc nanny,0.3,
17,macbook air,0.5,
17,windows store,0.2,
17,windows phone 8,0.4,
17,it's a mad king's world,0.6,
17,halloween summoner icons,0.4,
18,nc state football,0.3,288
18,ihsa football scores,0.9,
18,minecraft version changer,0.7,
18,skyrim dlc,0.5,
18,faithful 1.4.2,0.8,
18,samsung ativ smart pc,0.8,
18,florida gators,0.2,
18,nexus 7,0.9,
18,macbook air,0.2,
18,hurricane sandy,0.2,
19,houston rockets,0.2,85
19,gw2 mad king armor,0.7,
19,nanny kills kids,0.7,
20,colin powell,0.3,54
20,notre dame oklahoma,0.4,
20,benghazi attack,0.1,
20,eerie crate,0.3,
21,nokia lumia 920,0.1,153
21,ios 6 update,0.8,
21,asus vivo tab,0.9,
21,lenovo yoga,0.3,
21,nanny kills kids,0.3,
21,hurricane sandy,0.5,
22,colin powell,0.4,117
22,east coast storm,0.2,
22,lenovo ideapad yoga,0.7,
22,daemon tools lite,0.5,
22,medal of honor warfighter,0.3,
23,microsoft,0.8,61
23,macbook air,0.6,
24,google tablet,0.3,105
24,jetblue flights,0.6,
24,nexus,0.7,
24,nexus 4,0.1,
24,hurricane sandy,0.3,
25,farming simulator 2013,0.5,79
25,partners,0.1,
25,obama,0.6,
25,amazing race,0.1,
25,windows 8,0.3,
26,wii games,0.3,227
26,microsoft,0.6,
26,partners,0.8,
26,nexus 4,0.5,
26,eerie crate,0.8,
26,hurricane,0.9,
27,houston rockets,0.8,85
27,asus vivo tab,0.2,
27,windows surface,0.3,
27,nanny kills kids,0.8,
28,ihsa football scores,0.6,105
28,minecraft version changer,0.6,
28,medal of honor warfighter,0.7,
29,skyrim dlc,0.3,139
29,jetblue flights,0.2,
29,windows store,0.9,
29,amazing race,0.6,
29,60 minutes,0.9,
30,new york nanny agencies,0.9,150
30,mac mini,0.2,
30,partners,0.6,
30,samsung ativ smart pc,0.8,
30,lenovo ideapad yoga,0.4,
31,nyc nanny,0.7,129
31,benghazi,0.8,
31,windows store,0.2,
31,windows phone 8,0.1,
31,it's a mad king's world,0.3,
31,marco rubio daughter,0.5,
32,oregon ducks football,0.1,226
32,wii games,0.3,
32,window 8,0.9,
32,nokia lumia 920,0.6,
32,greys anatomy s9e4,0.3,
32,microsoft,0.1,
32,partners,0.7,
32,jelly bean galaxy s3,0.5,
32,benghazi,0.5,
33,google tablet,0.1,221
33,watch world series online,0.2,
33,google,0.2,
33,android 4.2,0.8,
33,macbook air,0.7,
33,lenovo yoga,0.3,
33,amazing race,0.4,
33,ipad mini review,0.9,
33,frankenstorm,0.4,
34,lattimore injury,0.7,306
34,benghazi attack,0.7,
34,nanny,0.3,
34,nyc nanny,0.7,
34,florida georgia game,0.8,
34,nexus 7,0.4,
34,daemon tools lite,0.5,
34,lenovo yoga,0.4,
34,it's a mad king's world,0.2,
34,amazing race,0.2,
34,galaxy note 2,0.3,
34,hurricane sandy,0.6,
35,mini ipad,0.9,261
35,fallen enchantress review,0.7,
35,colin powell,0.3,
35,microsoft,0.3,
35,asus transformer infinity,0.7,
35,cabelas dangerous hunts,0.7,
35,marvel spec ops 4,0.2,
35,&source=web,0.3,
35,polls,0.5,
35,windows 8,0.4,
36,nba preseason stats,0.3,89
36,watch world series online,0.5,
36,asus transformer infinity,0.5,
36,surface,0.2,
37,google tablet,0.4,109
37,greys anatomy s9e4,0.4,
37,florida gators,0.2,
37,vegas,0.4,
37,cbsnews,0.4,
37,amazing race,0.2,
37,marcus lattimore,0.2,
38,google tablet,0.7,189
38,ms surface,0.5,
38,partners,0.7,
38,florida georgia game,0.1,
38,&source=web,0.7,
38,windows phone 8,0.5,
38,60 minutes,0.1,
39,new york nanny agencies,0.2,250
39,lattimore injury,0.9,
39,gw2 mad king armor,0.1,
39,asus transformer infinity,0.8,
39,nexus,0.7,
39,macbook air,0.1,
39,nanny kills kids,0.7,
39,galaxy note 2,0.3,
39,sandy,0.7,
40,nexus 10,0.6,315
40,asus vivo tab,0.9,
40,farming simulator 2013,0.8,
40,minecraft xbox 360 seeds,0.4,
40,cabelas dangerous hunts,0.6,
40,nexus 7,0.5,
40,hurricane,0.5,
40,benghazi,0.6,
40,marco rubio daughter,0.7,
40,galaxy note 2,0.1,
41,mini ipad,0.4,210
41,elise build,0.5,
41,mac mini,0.8,
41,daemon tools lite,0.9,
41,windows store,0.9,
41,ipad mini review,0.8,
42,wii games,0.6,93
42,google tablet,0.3,
42,benghazi attack,0.7,
43,elise build,0.3,291
43,ms surface,0.8,
43,farming simulator 2013,0.7,
43,windows surface,0.8,
43,htc 8x,0.7,
43,vegas,0.7,
43,&source=web,0.7,
43,nanny kills kids,0.5,
43,microsoft surface,0.4,
43,frankenstorm,0.2,
44,ihsa football scores,0.4,150
44,office 2013,0.8,
44,notre dame oklahoma,0.3,
44,nexus,0.4,
44,storm news,0.6,
45,minecraft version changer,0.6,125
45,mitt romney,0.2,
45,mockingbird lane,0.9,
45,florida georgia game,0.2,
45,frankenstorm,0.7,
46,ms surface,0.3,218
46,lattimore injury,0.8,
46,greys anatomy s9e4,0.3,
46,colin powell,0.8,
46,nexus,0.8,
46,mockingbird lane,0.4,
46,amazing race,0.7,
46,tropical storm sandy,0.4,
47,houston rockets,0.9,168
47,greys anatomy s9e4,0.7,
47,mitt romney,0.1,
47,jetblue flights,0.3,
47,macbook air,0.1,
47,marco rubio daughter,0.9,
47,florida vs georgia,0.1,
48,nba preseason stats,0.3,208
48,ms surface,0.7,
48,ipad,0.3,
48,fringe review,0.7,
48,jelly bean galaxy s3,0.7,
48,mockingbird lane,0.4,
48,eerie crate,0.7,
49,ihsa football scores,0.4,306
49,windows surface,0.9,
49,office 2013,0.3,
49,dell xps duo 12,0.6,
49,nyc nanny,0.8,
49,macbook air,0.6,
49,eerie crate,0.8,
49,windows store,0.7,
49,ipad mini review,0.4,
49,hurricane sandy,0.1,
50,windows surface,0.3,178
50,google,0.9,
50,asus transformer infinity,0.7,
50,nexus,0.8,
50,windows store,0.5,
51,lattimore injury,0.7,175
51,watch world series online,0.8,
51,obama,0.2,
51,office 2013,0.1,
51,east coast storm,0.6,
51,saanvi venna,0.7,
51,sandy,0.2,
52,nexus 10,0.5,179
52,lucius review,0.2,
52,obama,0.9,
52,storm news,0.3,
52,&source=web,0.5,
52,halloween summoner icons,0.8,
53,nc state football,0.8,128
53,mac mini,0.3,
53,lucius,0.6,
53,halloween summoner icons,0.7,
54,new york nanny agencies,0.5,225
54,skyrim dlc,0.7,
54,ipad,0.4,
54,east coast storm,0.1,
54,lenovo ideapad yoga,0.4,
54,cabelas dangerous hunts,0.3,
54,nexus 4,0.7,
54,nanny kills kids,0.2,
54,south carolina football,0.3,
54,frankenstorm,0.9,
55,nokia lumia 920,0.2,86
55,faithful 1.4.2,0.6,
55,vegas,0.7,
55,florida vs georgia,0.2,
56,ihsa football scores,0.8,188
56,ms surface,0.6,
56,ipad,0.5,
56,fringe review,0.4,
56,samsung ativ smart pc,0.1,
56,nyc nanny,0.2,
56,macbook air,0.2,
56,saanvi,0.6,
57,oregon ducks football,0.5,114
57,minecraft xbox 360 seeds,0.8,
57,vegas,0.3,
57,windows phone 8,0.2,
57,saanvi,0.8,
58,nc state football,0.3,258
58,new york nanny agencies,0.6,
58,window 8,0.7,
58,minecraft xbox 360 seeds,0.8,
58,medal of honor warfighter,0.7,
58,60 minutes,0.8,
58,surface,0.3,
59,new york nanny agencies,0.7,207
59,window 8,0.2,
59,minecraft version changer,0.5,
59,cabelas dangerous hunts,0.2,
59,marvel spec ops 4,0.6,
59,ipad 4,0.1,
59,&source=web,0.1,
59,48 hours,0.3,
59,windows 8,0.8,
59,tropical storm sandy,0.2,
60,nba preseason stats,0.7,325
60,ipad,0.5,
60,lattimore injury,0.9,
60,fringe review,0.4,
60,lenovo ideapad yoga,0.8,
60,lucius,0.5,
60,polls,0.2,
60,marcus lattimore,0.8,
60,frankenstorm,0.9,
61,fallen enchantress review,0.5,233
61,ipad,0.6,
61,gw2 mad king armor,0.9,
61,office 2013,0.7,
61,east coast storm,0.9,
61,jetblue flights,0.1,
61,florida georgia game,0.1,
62,nexus 10,0.6,240
62,houston rockets,0.5,
62,fringe review,0.5,
62,google,0.8,
62,ipad 4,0.7,
62,nyc nanny,0.8,
62,marco rubio daughter,0.4,
63,lattimore injury,0.8,196
63,florida gators,0.5,
63,jelly bean galaxy s3,0.9,
63,hurricane,0.1,
63,saanvi,0.8,
63,microsoft surface,0.9,
64,ms surface,0.1,174
64,windows surface,0.2,
64,htc 8x,0.9,
64,florida gators,0.8,
64,nexus 4,0.7,
64,benghazi,0.2,
64,south carolina football,0.9,
65,nc state football,0.6,244
65,new york nanny agencies,0.1,
65,wii games,0.1,
65,google tablet,0.4,
65,colin powell,0.7,
65,htc 8x,0.6,
65,gw2 mad king armor,0.5,
65,jelly bean galaxy s3,0.6,
65,hurricane,0.3,
65,ipad mini review,0.2,
65,windows 8,0.5,
65,surface,0.1,
66,new york nanny agencies,0.6,84
66,ihsa football scores,0.2,
66,surface,0.1,
66,sandy,0.7,
67,oregon ducks football,0.6,176
67,new york nanny agencies,0.3,
67,minecraft xbox 360 seeds,0.9,
67,florida georgia game,0.8,
67,ipad mini review,0.1,
67,frankenstorm,0.2,
68,nokia lumia 920,0.1,135
68,ios 6 update,0.1,
68,nexus,0.4,
68,benghazi,0.7,
68,windows phone 8,0.5,
68,48 hours,0.7,
69,minecraft version changer,0.8,165
69,watch world series online,0.9,
69,farming simulator 2013,0.5,
69,macbook air,0.9,
69,windows store,0.6,
70,lattimore injury,0.3,330
70,fringe review,0.3,
70,nanny,0.4,
70,cabelas dangerous hunts,0.5,
70,ipad 4,0.8,
70,windows phone 8,0.3,
70,marco rubio daughter,0.8,
70,storm,0.3,
70,windows 8,0.7,
70,surface,0.8,
70,microsoft surface,0.9,
71,skyrim dlc,0.6,231
71,ipad,0.4,
71,microsoft,0.1,
71,nexus,0.3,
71,florida georgia game,0.9,
71,nanny kills kids,0.8,
71,ipad mini review,0.7,
72,wii games,0.6,188
72,skyrim dlc,0.6,
72,dell xps duo 12,0.5,
72,nanny kills kids,0.4,
72,storm,0.4,
72,frankenstorm,0.7,
72,hurricane sandy,0.3,
73,lattimore injury,0.7,129
73,microsoft,0.7,
73,florida gators,0.1,
73,google,0.9,
73,cabelas dangerous hunts,0.2,
73,storm,0.2,
74,new york nanny agencies,0.7,177
74,google tablet,0.3,
74,asus vivo tab,0.4,
74,colin powell,0.7,
74,mitt romney,0.5,
74,partners,0.3,
74,obama,0.3,
75,minecraft version changer,0.7,445
75,skyrim dlc,0.7,
75,mac mini,0.6,
75,ipad,0.7,
75,rutgers football,0.4,
75,lattimore injury,0.2,
75,microsoft,0.5,
75,fringe review,0.3,
75,obama,0.4,
75,florida gators,0.3,
75,asus transformer infinity,0.3,
75,macbook air,0.6,
75,eerie crate,0.4,
75,it's a mad king's world,0.2,
75,saanvi,0.4,
75,marco rubio daughter,0.6,
75,tropical storm sandy,0.8,
76,lattimore injury,0.2,114
76,benghazi,0.5,
76,saanvi,0.7,
76,amazing race,0.3,
76,48 hours,0.1,
76,storm,0.2,
76,&esrc=s,0.4,
77,lattimore injury,0.3,155
77,windows surface,0.8,
77,google,0.4,
77,jelly bean galaxy s3,0.5,
77,dell xps duo 12,0.8,
78,nc state football,0.8,256
78,jelly bean galaxy s3,0.8,
78,lucius,0.9,
78,florida georgia game,0.9,
78,macbook air,0.4,
78,medal of honor warfighter,0.6,
78,windows 8,0.9,
79,oregon ducks football,0.4,152
79,partners,0.3,
79,minecraft xbox 360 seeds,0.7,
79,saanvi venna,0.7,
79,frankenstorm,0.5,
79,hurricane sandy,0.3,
80,nc state football,0.4,189
80,fringe review,0.8,
80,minecraft xbox 360 seeds,0.3,
80,gw2 mad king armor,0.4,
80,&source=web,0.5,
80,windows store,0.7,
80,amazing race,0.3,
81,nexus 4,0.9,74
81,medal of honor warfighter,0.3,
81,galaxy note 2,0.2,
81,frankenstorm,0.2,
82,lucius review,0.8,149
82,houston rockets,0.5,
82,greys anatomy s9e4,0.1,
82,nexus 4,0.9,
82,&esrc=s,0.6,
83,ms surface,0.5,160
83,partners,0.3,
83,windows store,0.8,
83,it's a mad king's world,0.8,
83,saanvi,0.8,
83,tropical storm sandy,0.4,
84,fringe review,0.8,207
84,htc 8x,0.3,
84,jetblue flights,0.9,
84,benghazi attack,0.5,
84,48 hours,0.3,
84,south carolina football,0.9,
84,windows 8,0.8,
85,skyrim dlc,0.5,121
85,mini ipad,0.5,
85,ios 6 update,0.1,
85,android 4.2,0.4,
85,dell xps duo 12,0.6,
85,hurricane,0.7,
86,faithful 1.4.2,0.6,75
86,office 2013,0.7,
86,lenovo ideapad yoga,0.1,
87,minecraft version changer,0.3,236
87,ios 6 update,0.1,
87,rutgers football,0.4,
87,east coast storm,0.6,
87,android 4.2,0.4,
87,marco rubio daughter,0.6,
87,60 minutes,0.8,
87,windows 8,0.3,
87,florida vs georgia,0.7,
87,microsoft surface,0.4,
88,window 8,0.3,151
88,nyc nanny,0.9,
88,saanvi,0.4,
88,nanny kills kids,0.7,
88,marcus lattimore,0.7,
89,nokia lumia 920,0.2,63
89,watch world series online,0.5,
89,android 4.2,0.8,
90,window 8,0.7,66
90,florida gators,0.6,
90,ipad 4,0.2,
91,minecraft version changer,0.8,150
91,greys anatomy s9e4,0.7,
91,lucius,0.5,
91,sandy,0.9,
92,htc 8x,0.8,102
92,gw2 mad king armor,0.6,
92,saanvi,0.3,
92,marcus lattimore,0.4,
93,greys anatomy s9e4,0.4,231
93,htc 8x,0.7,
93,notre dame oklahoma,0.6,
93,florida georgia game,0.7,
93,it's a mad king's world,0.3,
93,saanvi,0.4,
93,marcus lattimore,0.8,
94,fallen enchantress review,0.3,37
94,office 2013,0.2,
94,hurricane,0.1,
95,oregon ducks football,0.4,228
95,fallen enchantress review,0.3,
95,houston rockets,0.9,
95,faithful 1.4.2,0.1,
95,jelly bean galaxy s3,0.9,
95,&source=web,0.4,
95,it's a mad king's world,0.2,
95,60 minutes,0.4,
95,hurricane sandy,0.6,
96,mini ipad,0.1,364
96,lucius review,0.9,
96,ios 6 update,0.5,
96,rutgers football,0.4,
96,microsoft,0.2,
96,obama,0.9,
96,gw2 mad king armor,0.7,
96,florida gators,0.3,
96,nyc nanny,0.8,
96,eerie crate,0.8,
96,daemon tools lite,0.2,
96,polls,0.7,
96,medal of honor warfighter,0.1,
97,asus vivo tab,0.5,56
97,ipad mini review,0.3,
97,frankenstorm,0.2,
98,minecraft version changer,0.8,201
98,nanny,0.9,
98,mockingbird lane,0.4,
98,it's a mad king's world,0.9,
98,&esrc=s,0.7,
99,nc state football,0.9,358
99,nokia lumia 920,0.3,
99,nba preseason stats,0.3,
99,ms surface,0.4,
99,rutgers football,0.7,
99,lattimore injury,0.7,
99,jelly bean galaxy s3,0.6,
99,nexus 4,0.2,
99,eerie crate,0.3,
99,it's a mad king's world,0.4,
99,frankenstorm,0.9,
99,hurricane sandy,0.9,
